nama_tempat,user,review,rating
Unknown,Agustus Duapuluhtiga,"Anak anak sangat suka karena ada playland soal makanan paling suka menu dessert, kentang goreng, ayam dan burger nya soal harga serta rasa banyak pilihan, ibu suka burger fillet o fish nya karena selain lembut digigit juga tidak pedas, pelayanan cepat ramah dan tempat makan nyaman cocok datang bersama keluarga",5
Unknown,roy kurniawan,"Paling suka ngopi panas pagi di MCD 😬
Kopi Hitam panasnya free reffil sampai jam 11.00.
Jadi puas ngopinya cuma Ro 12.000,-
Bisa reffil sesuka nya 🤗 …",5
Unknown,Mona,"Pagi ini jam 5.45 pesan lewat drive thru judulnya ""paket cepat harga 70.000 + ppn jadi 80.000""
Pesannya ayam dada tulang 2 paha 1 …",1
Unknown,Bang Dammm,"Makanannya enak banget! Pelayanannya ramah dan cepat. Tempatnya bersih, nyaman, dan cocok buat makan bareng keluarga. Harga juga masih masuk akal. Recommended!",5
Unknown,Peggy Marcella,"Baru beli mcd di raya darmo. Ini worst experience bgt! Mba nya nyolot karna kita nukerin kupon indomart
Padahal itu kupon juga kita beli …",1
Unknown,Nurul Farida,"bintang 1/10 buat mbk pelayan ini !! bilang gabisa dikasir trnyata orang lain boleh pesen.
saran gausah beda” kan customer.",1
Unknown,ana nana,"Sama seperti mcd lainnya, disini pelayanan yang cepat dan sigap. Rasa ayamnya enak dan nasinya pulen sekali.. Es lecinya my favorite",5
Unknown,Bts Bt21,"Baru aja drive thru paket sausage mcmuffin pakai egg..keluarnya tanpa egg dengan harga with egg..syaul..dah gitu mau pesen minuman hangatnya cuman ditawarin mineral, fruit tea sm teh kotak..males bikin kan lu? bikin darting aja",1
Unknown,Mira Hartono,Beli paket panas sekitar jam3an trs d makan jam 5sore tp nasinya sdh basi berjamur n basah,1
Unknown,Salsabilla Firdaus,"enak buat nugas, wifi juga oke. tapi ya memang berisik, ga bisa di toleran sih. memang bukan tempat nugas atau buat tempat yg ingin cari ketenangan. karena memang restoran junk food untuk keluarga. tapi emang tempatnya pewe banget. …",5
Unknown,Iadatu Alhukmi Bima Anzalallah,"Pelayanan cepat makanan enak , toilet bersih dan harum",5
Unknown,zholla ilham,"Enak pas lagi galau, bisa rokok, es kopi, lihat jalan utama",5
Unknown,Novi Ben,"Gratisan utk anak. Tanya pegawai 1, suruh anaknya ambil sendiri. Kebetulan anak udah nunggu diatas. Kusuruh turun. Ketemu sm pegawai 2, diminta kartu pelajar. Aku bilang, pakai KTP anak bisa gak. Oh gak bisa, harus pelajar. Padahal anak …",1
Unknown,Poco Sadewa,Harus banget nunggu 20 menit pesanan ku di skip beberapa orang. Awalnya ku kira emang lagi rame jadi diem aja. Ternyata ke skip gk dibuatin,1
Unknown,Taufiq Hidayat,"Kamar mandinya astagfirulloh....bau pesing banget
Sumpah mual selera makan hilamg klo ke toilet
Kasih jet washer ato urinoir pak supaya kencingnya ga sembarangan n ga tersiram",2
